Focus Attack Level 3,UB,140,200,60,-,65,2,35,D,D,
Forward Throw,0.88,130,130,40,-,3,2,20,-,D,"Knockdown, Range 0.88"
Back Throw,0.88,140,140,40,-,3,2,20,-,D,"Knockdown, Range 0.88"
Rekka Ken Light Punch (1),HL,50,50,10/10,-,7,2,21,-4,0,16 frames to cancel into second rekka
Rekka Ken Medium Punch (1),HL,55,50,10/10,-,9,2,23,-6,-2,18 frames to cancel into second rekka
Rekka Ken Hard Punch (1),HL,60,50,10/10,-,10,2,25,-8,-4,19 frames to cancel into second rekka
Rekka Ken Light Punch (2),HL,50,50,10/10,-,7,2,23,-6,-2,17 frames to cancel into third rekka
Rekka Ken Medium Punch (2),HL,55,50,10/10,-,7,2,25,-8,-4,17 frames to cancel into third rekka
Rekka Ken Hard Punch (2),HL,60,50,10/10,-,7,2,27,-10,-6,17 frames to cancel into third rekka
Rekka Ken Light Punch (3),HL,60,50,10/10,-,7,2,36,-19,D,
Rekka Ken Medium Punch (3),HL,60,50,10/10,-,9,2,36,-19,D,
Rekka Ken Hard Punch (3),HL,60,50,10/10,-,9,2,40,-23,D,
Rekka Ken EX (1),HL,65,50,-250/0,-,7,2,25,0,+2,
Rekka Ken EX (2),HL,65,50,0/0,-,7,2,27,-1,0,
Rekka Ken EX (3),HL,70,50,0/0,-,9,2,40,-23,D,
Flame Kick Light Kick,HL,120[70],200[100],30/40,Su,5,12,16+22,-29,D,"1~4f invincible, 6f unthrowable, 7~f airborne"
Flame Kick Medium Kick,HL,140*90,200[100],30/40,Su,5,12,20+22,-31,D,"1~5f invincible, 6f unthrowable, 7~f airborne"
Flame Kick Hard Kick,HL,100*60,100*100,30/40*20,Su,5,2*10,24+22,-35,D,"1~5f invincible, 6f unthrowable, 7~f airborne, 2 hit pursuit property"
Flame Kick EX,HL,100*50x2,100*50x2,-250/0,Su,5,2*8*11,18+22,-38,D,"1~6f invincible, 7~f airborne, 2~3 hit pursuit property"
Flying Kick Light Kick,HL,30*30*40,50x3,10/30*20*20,-,14,2(5)4(6)2,5+16,-4,0,"1~8f invincible, 9~f airborne, pursuit property, 1st hit armor break"
Flying Kick Medium Kick,HL,30*30*50,50x3,10/30*20*20,-,16,2(5)4(6)2,5+14,-2,+2,"1~10f invincible, 11~f airborne, pursuit property, 1st hit armor break"
Flying Kick Hard Kick,HL,40*40*60,50x3,10/30*20*20,-,18,2(5)4(6)2,4+13,0,+4,"13~f airborne, pursuit property, 1st hit armor break"
Flying Kick EX,HL,30*30*40,50x3,-250/0,-,18,2(5)4(6)2,4+13,0,+4,"1~12f invincible, 13~36f projectile invincible, pursuit property, 1st hit armor break"
Flip Grab,0.92,0,0,10/40,-,14,2,51,-,+7,Range 0.9
Flip Grab EX,1.23,0,0,-250/0,-,12,2,51,-,+7,Range 1.2
Super,HL,50x4*170,0,-1000/0,-,1+5,2(10) 2(12) 2(11) 2(20) 2,57,-38,D,"1~6f invincible, pursuit property"
Ultra 1,HL,60x4*165[375],0,0/0,-,0+10,2(11) 2(12) 2(10) 2(21) 2,57,-38,D,1~10f invincible
Ultra 2,-,470,0,0/0,-,0+1,35,61,-,D,
