Move,Block,Damage,Stun,Meter Gain,Cancel Ability,Startup,Active,Recover,Frame Adv. Block,Frame Adv. Hit,Notes
Habenero Dash - Hard Kick,L,100,200,20/30,-,6+12,6,24,-9,-,"Low attack, cannot fast recover"
Habenero Back Dash - Hard Punch,1.73,132,150,20/60,-,6+22,4,4+16,-,-,"1~13f , , Throw range 2.65"
Picadillo Jump,-,-,-,-,-,-,-,40,-,-,
Quesadilla Bomb Level 1,HL,50,100,30/40,Su,17,11,18,-17,-13,"Armor Break, 2"
Quesadilla Bomb Level 2,HL,100,150,30/40,Su,17,11,18,-17,D,"Armor Break, 3.5"
Quesadilla Bomb Level 3,HL,150,200,30/40,Su,17,11,18,-17,D,
Quesadilla Bomb EX,HL,200,300,-250/0,Su,17,11,18,-17,D,"Armor Break, 6.5"
Guacamole Leg Throw Light Kick,-,0*120,100,20/0*60,-,7,6,17+11,-,D,"1~4f invincible, Pursuit Property"
Guacamole Leg Throw Medium Kick,-,0*130,100,20/0*60,-,9,6,20+11,-,D,"1~5f invincible, Pursuit Property"
Guacamole Leg Throw Hard Kick,-,0*140,100,20/0*60,-,11,9,16+11,-,D,"1~7f invincible, Pursuit Property"
Guacamole Leg Throw EX,-,0*180,200,-250/0,-,11,9,12+13,-,D,"1~17f invincible, Pursuit Property"
Super Light Kick,HL,35x4*190,0,-1000/0,-,1+??3,4(8) 5(14) 5(13) 4,32,-15,D,"1~7f invincible, 53~57f , Pursuit Property"
Super Medium Kick,HL,35x4*190,0,-1000/0,-,1+??4,5(8) 5(14) 5(13) 4,32,-15,D,"1~6f invincible, 55~59f , Pursuit Property"
Super Hard Kick,HL,35x4*190,0,-1000/0,-,1+??5,6(8) 5(14) 5(13) 4,32,-15,D,"1~5f invincible, 57~61f , Pursuit Property"
Ultra 1,2.14,470,0,0/0,-,1+??5,12,54,-,D,"1~10f invincible, , Throw range 3.6"
Ultra 2,1.55,450,0,0/0,-,1+??4,11,65,-,,
