Move,Block,Damage,Stun,Meter Gain,Cancel Ability,Startup,Active,Recover,Frame Adv. Block,Frame Adv. Hit,Notes
Kick Wheel Medium Kick,H,140,200,30/40,-,24,7,2+20,-11,-6,"1~30f low invuln, 14f~ airborne, Forces stand, Mid attack"
Kick Wheel Hard Kick,H,160,200,30/40,-,27,7,1+22,-12,-7,"1~32f low invuln, 15f~ airborne, Forces stand, Mid attack"
Kick Wheel EX,H,60*120,100*100,-250/0,--,17,7*3,2+19,-6,0,"1~26f low invuln, Forces stand, Mid attack"
Marseilles Roll Light Kick,-,-,-,20/-,-,-,-,27,-,-,"5~23f strike and projectile invincible, 24~26f projectile invincible"
Marseilles Roll Medium Kick,-,-,-,20/-,-,-,-,30,-,-,"5~25f strike and projectile invincible, 26~29f projectile invincible"
Marseilles Roll Hard Kick,-,-,-,20/-,-,-,-,32,-,-,"5~27f strike and projectile invincible, 28~31 projectile invincible"
Marseilles Roll EX,-,-,-,-250/-,-,-,-,32,-,-,1~32f strike invincible
Sky Fall Light Punch,-,0*140,100,30/0*100,-,5,2,31,-,D,Cannot fast recover
Sky Fall Medium Punch,-,0*150,150,30/0*100,-,6,4,31,-,D,Cannot fast recover
Sky Fall Hard Punch,-,0*160,200,30/0*100,-,9,6,31,-,D,Cannot fast recover
Sky Fall EX,-,0*160,150,-250/0,-,6,2,31,-,D,Cannot fast recover
Tornado Throw Light Punch,1.3,150,100,30/80,-,5,2,51,-,D,"1~6f unthrowable, throw range 1.33"
Tornado Throw Medium Punch,1.1,170,150,30/80,-,5,2,45,-,D,"1~6f unthrowable, throw range 1.13"
Tornado Throw Hard Punch,0.9,190,200,30/80,-,5,2,39,-,D,"1~6f unthrowable, throw range 0.93"
Tornado Throw EX,1.25,190,150,-250/0,-,5,2,54,-,D,"1~6f strike invincible, throw range 1.25"
Super,HL,0*335,0,-1000/0,-,1+5,2,41,-32,D,"1f invincible, 2~7f strike(Light) throw(Medium) projectile(Hard) invincible"
Ultra 1,HL,45*416,0,0/0,-,1+13,2,46,-30,D,"1~4f invincible, 5~14f strike/projectile invincible, Armor Break"
Ultra 2,1,431,0,0/0,-,1+7,6,51,-,-,"1f invincible, armored on first frame onwards until release or cancel"
